,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
49,0.0348270054041738,0.0012129203054223,0.0348270070002021,0.2005615,0.2123718,-0.2123718
50,0.1004210735509233,0.0100843920131199,0.1004210776575895,0.9999695,0.9999695,-0.8106689
51,0.0586372133588193,0.0034383227904876,0.0586372271376181,0.284668,0.284668,-0.2261047
52,0.0536998441270706,0.0028836732592716,0.0536998542776005,0.2443848,0.3390503,-0.3390503
53,0.0173214357508416,0.0003000321364705,0.0173214502472336,0.1096497,0.1096497,-0.09851074
54,0.0362052293715508,0.0013108186338466,0.0362052470575564,0.3210144,0.3210144,-0.2533875
55,0.1343643174581033,0.0180537698059819,0.1343643356583219,0.7858887,0.8587952,-0.8587952
56,0.0651526182662361,0.0042448636669458,0.0651526719308342,0.3795471,0.5370789,-0.5370789
57,0.0431866618007461,0.001865087757492,0.0431866673915906,0.2775879,0.403595,-0.403595
58,0.0366872182167541,0.0013459519804837,0.0366872200650242,0.4214478,0.4641113,-0.4641113
59,0.0267333413024463,0.000714671537193,0.0267333639543983,0.1874084,0.1874084,-0.1796265
60,0.0755329108747623,0.0057052206252147,0.0755329154173541,0.6446533,0.6446533,-0.4403687
61,0.0175746494973827,0.0003088683049558,0.0175747143635578,0.1123352,0.1325378,-0.1325378
62,0.0879597501350983,0.0077369176438289,0.08795975222663,0.7913513,0.8473816,-0.8473816
63,0.0362711872772444,0.0013155990265009,0.0362720656479832,0.9653015,0.9653015,-0.787384
64,0.020091854749693,0.0004036826272827,0.0200918707494951,0.1396484,0.1396484,-0.1221008
65,0.0231151881212476,0.0005343119218806,0.0231151962532085,0.1462097,0.1462097,-0.1391296
66,0.1362354900619805,0.018560108752428,0.1362355610956921,0.6717224,0.8276978,-0.8276978
67,0.0463657767141554,0.0021497852503069,0.0463657796438147,0.2790527,0.2790527,-0.2495728
68,0.0191289259004496,0.0003659158061048,0.019128952715504,0.1367493,0.1996765,-0.1996765
69,0.045368435792989,0.0020582949663025,0.0453684960810921,0.3968811,0.3968811,-0.2805176
70,0.0067174789844314,4.512452390627836e-05,0.0067175222787778,0.06228638,0.06228638,-0.06176758
71,0.0324743201742789,0.0010545814707815,0.0324743596549241,0.2861938,0.2861938,-0.2117004
72,0.0322529329644081,0.0010402516848066,0.0322529968119051,0.1899109,0.2366638,-0.2366638
73,0.0167473237073606,0.0002804728513591,0.0167473398434201,0.09002686,0.1265869,-0.1265869
74,0.0324180591602255,0.0010509305597158,0.0324180681534591,0.3106689,0.3375549,-0.3375549
75,0.0151440427537772,0.0002293420309282,0.0151440744456104,0.09280396,0.09280396,-0.08078003
76,0.4370666624456918,0.1910272674214163,0.4370667808435745,0.9999695,1.0,-1.0
77,0.1042278293844647,0.010863440418197,0.1042278525475401,0.7745361,0.9992676,-0.9992676
78,0.0213622177984516,0.0004563443492684,0.0213622264444652,0.1998596,0.1998596,-0.1555176
79,0.0278283968875722,0.0007744196733322,0.0278284016611111,0.1537476,0.1537476,-0.144043
80,0.0382681681493446,0.0014644526935065,0.0382683062373608,0.1751709,0.1956177,-0.1956177
81,0.0236590010496375,0.0005597483306667,0.0236590727413583,0.2171631,0.2171631,-0.1298523
